customer,distribution_method,date,planned_method,final_method,completed_at,last_box_date,datetime,weekday,hour,morning_afternoon,is_unenrolled,completed_days_after,deviation_from_plan,deviation_from_current,deviation_summary,no_show
Customer 11,pickup,2022-06-24,pickup,pickup,2022-06-25 11:45:05-04:00,,2022-06-24 00:00:00-04:00,Saturday,11,Morning,False,1.4896412037037037,False,False,as planned,False
Customer 7,pickup,2022-06-24,pickup,pickup,2022-06-24 17:03:31-04:00,,2022-06-24 00:00:00-04:00,Friday,17,Afternoon,False,0.710775462962963,False,False,as planned,False
Customer 55,pickup,2022-06-24,pickup,pickup,2022-06-24 16:08:30-04:00,,2022-06-24 00:00:00-04:00,Friday,16,Afternoon,False,0.6725694444444444,False,False,as planned,False
Customer 33,pickup,2022-06-24,pickup,pickup,2022-06-25 14:55:45-04:00,,2022-06-24 00:00:00-04:00,Saturday,14,Afternoon,False,1.6220486111111112,False,False,as planned,False
Customer 10,delivery,2022-06-24,pickup,pickup,2022-06-25 11:29:58-04:00,,2022-06-24 00:00:00-04:00,Saturday,11,Morning,False,1.4791435185185184,False,False,as planned,False
Customer 27,pickup,2022-06-24,pickup,pickup,2022-06-24 10:42:55-04:00,,2022-06-24 00:00:00-04:00,Friday,10,Morning,False,0.4464699074074074,False,False,as planned,False
Customer 16,pickup,2022-06-24,pickup,pickup,2022-06-25 12:12:11-04:00,,2022-06-24 00:00:00-04:00,Saturday,12,Morning,False,1.5084606481481482,False,False,as planned,False
Customer 3,pickup,2022-06-24,pickup,pickup,2022-06-25 15:45:03-04:00,,2022-06-24 00:00:00-04:00,Saturday,15,Afternoon,False,1.6562847222222221,False,False,as planned,False
Customer 48,pickup,2022-06-24,pickup,pickup,2022-06-25 15:23:09-04:00,,2022-06-24 00:00:00-04:00,Saturday,15,Afternoon,False,1.6410763888888888,False,False,as planned,False
Customer 53,pickup,2022-06-24,pickup,pickup,2022-06-25 10:19:18-04:00,,2022-06-24 00:00:00-04:00,Saturday,10,Morning,False,1.4300694444444444,False,False,as planned,False
Customer 15,pickup,2022-06-24,pickup,pickup,2022-06-25 14:55:38-04:00,,2022-06-24 00:00:00-04:00,Saturday,14,Afternoon,False,1.6219675925925925,False,False,as planned,False
Customer 46,pickup,2022-06-24,delivery,pickup,2022-06-24 14:14:06-04:00,,2022-06-24 00:00:00-04:00,Friday,14,Afternoon,False,0.593125,True,False,as planned,False
Customer 34,pickup,2022-06-24,pickup,pickup,2022-06-25 13:15:15-04:00,,2022-06-24 00:00:00-04:00,Saturday,13,Afternoon,False,1.5522569444444445,False,False,as planned,False
Customer 30,pickup,2022-06-24,delivery,pickup,2022-06-25 15:23:08-04:00,,2022-06-24 00:00:00-04:00,Saturday,15,Afternoon,False,1.6410648148148148,True,False,as planned,False
Customer 26,pickup,2022-06-24,pickup,pickup,2022-06-24 11:35:04-04:00,,2022-06-24 00:00:00-04:00,Friday,11,Morning,False,0.48268518518518516,False,False,as planned,False
