customer,distribution_method,date,planned_method,final_method,completed_at,last_box_date,weekday,hour,morning_afternoon,is_unenrolled,deviation_from_plan,deviation_from_current,deviation_summary
Customer 3,pickup,2022-06-24,pickup,pickup,2022-06-25 11:45:05-04:00,,Saturday,11,Morning,False,0,0,as planned
Customer 53,pickup,2022-06-24,pickup,pickup,2022-06-24 17:03:31-04:00,,Friday,17,Afternoon,False,0,0,as planned
Customer 51,pickup,2022-06-24,pickup,pickup,2022-06-24 16:08:30-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 27,pickup,2022-06-24,pickup,pickup,2022-06-25 14:55:45-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 2,delivery,2022-06-24,pickup,pickup,2022-06-25 11:29:58-04:00,,Saturday,11,Morning,False,0,0,as planned
Customer 20,pickup,2022-06-24,pickup,pickup,2022-06-24 10:42:55-04:00,,Friday,10,Morning,False,0,0,as planned
Customer 8,pickup,2022-06-24,pickup,pickup,2022-06-25 12:12:11-04:00,,Saturday,12,Morning,False,0,0,as planned
Customer 23,pickup,2022-06-24,pickup,pickup,2022-06-25 15:45:03-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 43,pickup,2022-06-24,pickup,pickup,2022-06-25 15:23:09-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 49,pickup,2022-06-24,pickup,pickup,2022-06-25 10:19:18-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 7,pickup,2022-06-24,pickup,pickup,2022-06-25 14:55:38-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 41,pickup,2022-06-24,delivery,pickup,2022-06-24 14:14:06-04:00,,Friday,14,Afternoon,False,1,0,as planned
Customer 28,pickup,2022-06-24,pickup,pickup,2022-06-25 13:15:15-04:00,,Saturday,13,Afternoon,False,0,0,as planned
Customer 24,pickup,2022-06-24,delivery,pickup,2022-06-25 15:23:08-04:00,,Saturday,15,Afternoon,False,1,0,as planned
Customer 19,pickup,2022-06-24,pickup,pickup,2022-06-24 11:35:04-04:00,,Friday,11,Morning,False,0,0,as planned
Customer 50,pickup,2022-06-24,pickup,pickup,2022-06-24 16:38:22-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 48,pickup,2022-06-24,pickup,pickup,2022-06-25 10:19:04-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 4,pickup,2022-06-24,pickup,pickup,2022-06-25 16:22:27-04:00,,Saturday,16,Afternoon,False,0,0,as planned
Customer 14,pickup,2022-06-24,pickup,pickup,2022-06-24 16:08:18-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 12,pickup,2022-06-24,pickup,pickup,2022-06-25 11:07:25-04:00,,Saturday,11,Morning,False,0,0,as planned
Customer 39,pickup,2022-06-24,pickup,pickup,2022-06-25 14:55:42-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 42,pickup,2022-06-24,pickup,pickup,2022-06-24 11:29:08-04:00,,Friday,11,Morning,False,0,0,as planned
Customer 3,pickup,2022-07-01,pickup,pickup,2022-07-02 12:40:29-04:00,,Saturday,12,Morning,False,0,0,as planned
Customer 6,pickup,2022-07-01,pickup,pickup,2022-07-01 12:46:16-04:00,,Friday,12,Morning,False,0,0,as planned
Customer 40,delivery,2022-07-01,pickup,pickup,2022-07-01 10:36:01-04:00,,Friday,10,Morning,False,0,0,as planned
Customer 27,pickup,2022-07-01,pickup,pickup,2022-07-02 10:49:58-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 2,delivery,2022-07-01,pickup,pickup,2022-07-01 13:05:25-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 20,pickup,2022-07-01,pickup,pickup,2022-07-01 09:00:01-04:00,,Friday,9,Morning,False,0,0,as planned
Customer 8,pickup,2022-07-01,pickup,pickup,2022-07-01 16:29:59-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 23,pickup,2022-07-01,pickup,pickup,2022-07-01 16:51:23-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 1,pickup,2022-07-01,pickup,pickup,2022-07-02 14:33:55-04:00,2022-08-06,Saturday,14,Afternoon,True,0,0,as planned
Customer 7,pickup,2022-07-01,pickup,pickup,2022-07-02 13:35:33-04:00,,Saturday,13,Afternoon,False,0,0,as planned
Customer 41,pickup,2022-07-01,pickup,pickup,2022-07-01 15:39:33-04:00,,Friday,15,Afternoon,False,0,0,as planned
Customer 28,pickup,2022-07-01,pickup,pickup,2022-07-02 11:43:47-04:00,,Saturday,11,Morning,False,0,0,as planned
Customer 19,pickup,2022-07-01,pickup,pickup,2022-07-01 11:12:48-04:00,,Friday,11,Morning,False,0,0,as planned
Customer 50,pickup,2022-07-01,pickup,pickup,2022-07-01 16:48:42-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 48,pickup,2022-07-01,pickup,pickup,2022-07-01 12:46:04-04:00,,Friday,12,Morning,False,0,0,as planned
Customer 14,pickup,2022-07-01,pickup,pickup,2022-07-01 16:22:28-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 12,pickup,2022-07-01,pickup,pickup,2022-07-01 14:44:34-04:00,,Friday,14,Afternoon,False,0,0,as planned
Customer 39,pickup,2022-07-01,pickup,pickup,2022-07-02 13:35:41-04:00,,Saturday,13,Afternoon,False,0,0,as planned
Customer 29,pickup,2022-07-01,pickup,pickup,2022-07-02 14:58:47-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 3,pickup,2022-07-08,pickup,pickup,2022-07-09 12:27:29-04:00,,Saturday,12,Morning,False,0,0,as planned
Customer 6,pickup,2022-07-08,pickup,pickup,2022-07-08 13:49:51-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 53,pickup,2022-07-08,pickup,delivery,2022-07-09 18:58:27-04:00,,Saturday,18,Afternoon,False,1,1,delivery
Customer 17,pickup,2022-07-08,pickup,delivery,2022-07-09 19:22:31-04:00,2022-07-22,Saturday,19,Afternoon,True,1,1,delivery
Customer 40,delivery,2022-07-08,pickup,pickup,2022-07-09 10:37:24-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 11,delivery,2022-07-08,delivery,delivery,2022-07-08 18:12:24-04:00,,Friday,18,Afternoon,False,0,0,as planned
Customer 51,pickup,2022-07-08,pickup,pickup,2022-07-09 16:48:56-04:00,,Saturday,16,Afternoon,False,0,0,as planned
Customer 27,pickup,2022-07-08,pickup,pickup,2022-07-09 15:41:18-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 2,delivery,2022-07-08,pickup,pickup,2022-07-08 16:32:38-04:00,,Friday,16,Afternoon,False,0,0,as planned
Customer 20,pickup,2022-07-08,pickup,pickup,2022-07-08 09:20:28-04:00,,Friday,9,Morning,False,0,0,as planned
Customer 25,pickup,2022-07-08,pickup,reallocate,2022-07-09 18:06:05-04:00,2022-07-01,Saturday,18,Afternoon,True,1,1,reallocate
Customer 23,pickup,2022-07-08,pickup,pickup,2022-07-09 10:23:49-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 0,delivery,2022-07-08,delivery,delivery,2022-07-09 18:58:23-04:00,,Saturday,18,Afternoon,False,0,0,as planned
Customer 43,pickup,2022-07-08,pickup,pickup,2022-07-09 15:04:49-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 16,delivery,2022-07-08,delivery,delivery,2022-07-08 18:12:26-04:00,,Friday,18,Afternoon,False,0,0,as planned
Customer 35,pickup,2022-07-08,pickup,delivery,2022-07-09 19:32:01-04:00,,Saturday,19,Afternoon,False,1,1,delivery
Customer 32,pickup,2022-07-08,pickup,pickup,2022-07-09 13:32:51-04:00,,Saturday,13,Afternoon,False,0,0,as planned
Customer 49,pickup,2022-07-08,pickup,delivery,2022-07-09 19:40:56-04:00,,Saturday,19,Afternoon,False,1,1,delivery
Customer 7,pickup,2022-07-08,pickup,pickup,2022-07-09 14:57:44-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 41,pickup,2022-07-08,pickup,pickup,2022-07-09 10:05:50-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 36,delivery,2022-07-08,pickup,delivery,2022-07-08 20:28:49-04:00,,Friday,20,Afternoon,False,1,0,as planned
Customer 22,delivery,2022-07-08,pickup,delivery,2022-07-09 18:58:33-04:00,,Saturday,18,Afternoon,False,1,0,as planned
